,sitename,speciescode,vals,year,GLOB,MANO,RION,ECSP,ALAR,svl
116,SiteB,BUBO,16,2009,0,1,3,2,2,25.8551172339
117,SiteB,BUBO,17,2009,2,2,1,2,2,0.75823820841
118,SiteB,BUBO,18,2009,1,3,3,5,2,22.4091147989
119,SiteB,BUBO,19,2009,2,1,0,2,2,5.44252674008
120,SiteB,PSRE,0,2009,4,3,3,1,2,2.64394067581
121,SiteB,PSRE,1,2009,0,1,3,2,1,10.5587196834
122,SiteB,PSRE,2,2009,1,2,3,2,2,16.1670872434
123,SiteB,PSRE,3,2009,4,2,4,3,2,9.11400843312
124,SiteB,PSRE,4,2009,0,0,1,4,1,1.68269337927
125,SiteB,PSRE,5,2009,4,3,3,4,4,5.3953852075
126,SiteB,PSRE,6,2009,1,2,3,2,3,9.22835919068
127,SiteB,PSRE,7,2009,5,3,2,1,0,6.13541406653
128,SiteB,PSRE,8,2009,1,1,3,5,2,0.540555641183
129,SiteB,PSRE,9,2009,2,1,4,1,5,16.3675808224
130,SiteB,PSRE,10,2009,3,5,2,1,1,3.57440733577
131,SiteB,PSRE,11,2009,0,0,1,2,4,2.57900760869
132,SiteB,PSRE,12,2009,2,0,2,2,4,4.39755317894
133,SiteB,PSRE,13,2009,4,1,4,0,6,5.82614788801
134,SiteB,PSRE,14,2009,3,3,1,1,2,3.44129559499
135,SiteB,PSRE,15,2009,1,1,2,5,2,2.23342319012
136,SiteB,PSRE,16,2009,3,1,2,2,0,11.1439440435
137,SiteB,PSRE,17,2009,2,0,0,2,1,4.03583708662
138,SiteB,PSRE,18,2009,3,4,3,4,4,2.00984020505
139,SiteB,PSRE,19,2009,2,3,1,3,1,2.85110151112
140,SiteB,RACA,0,2009,1,1,1,3,1,4.44712590956
141,SiteB,RACA,1,2009,0,2,1,2,4,0.46705120538
142,SiteB,RACA,2,2009,2,2,3,3,1,5.79260069551
143,SiteB,RACA,3,2009,4,3,1,1,0,19.1965025491
144,SiteB,RACA,4,2009,4,4,1,3,4,8.80533292154
145,SiteB,RACA,5,2009,0,1,3,4,1,19.2891671853
146,SiteB,RACA,6,2009,0,5,0,2,3,1.23916968614
147,SiteB,RACA,7,2009,1,3,1,2,0,6.00184580541
148,SiteB,RACA,8,2009,5,1,2,3,2,1.73462309399
149,SiteB,RACA,9,2009,3,2,2,3,4,1.0836372707
150,SiteB,RACA,10,2009,1,1,1,1,2,8.32797053562
151,SiteB,RACA,11,2009,1,1,1,1,0,1.58459729027
152,SiteB,RACA,12,2009,0,3,3,2,3,0.108769557592
153,SiteB,RACA,13,2009,1,3,0,1,3,0.888146494121
154,SiteB,RACA,14,2009,1,1,3,3,1,0.696361046378
155,SiteB,RACA,15,2009,2,4,1,5,3,2.28759244449
156,SiteB,RACA,16,2009,2,0,0,1,2,4.32977114088
157,SiteB,RACA,17,2009,1,3,0,1,2,2.15018912377
158,SiteB,RACA,18,2009,2,1,2,4,1,0.451171742849
159,SiteB,RACA,19,2009,2,2,2,5,2,1.96367457333
160,SiteB,TATO,0,2009,3,0,2,0,1,0.980376414586
161,SiteB,TATO,1,2009,0,2,2,1,3,0.851060305088
162,SiteB,TATO,2,2009,3,2,2,0,2,4.23404053554
163,SiteB,TATO,3,2009,1,1,3,4,1,0.168124538701
164,SiteB,TATO,4,2009,2,0,2,0,3,2.33974801545
165,SiteB,TATO,5,2009,1,4,3,1,1,2.87813340355
166,SiteB,TATO,6,2009,0,3,1,4,3,1.80952783587
167,SiteB,TATO,7,2009,4,1,1,5,1,0.626105610788
168,SiteB,TATO,8,2009,4,4,2,2,2,18.0538392024
169,SiteB,TATO,9,2009,4,3,0,1,5,5.5912636386
170,SiteB,TATO,10,2009,2,2,1,1,1,2.9039754124
171,SiteB,TATO,11,2009,3,1,2,2,3,10.3425005224
172,SiteB,TATO,12,2009,1,0,4,2,3,2.93856792514
173,SiteB,TATO,13,2009,0,4,2,4,1,2.14964989512
174,SiteB,TATO,14,2009,4,2,2,2,2,9.35364268627
175,SiteB,TATO,15,2009,4,3,1,3,4,0.814132632217
176,SiteB,TATO,16,2009,0,3,0,2,2,3.06836474652
177,SiteB,TATO,17,2009,3,2,0,0,4,10.1133507797
178,SiteB,TATO,18,2009,2,3,1,3,1,1.58290279973
179,SiteB,TATO,19,2009,3,2,1,0,4,3.59836389786
180,SiteB,TAGR,0,2009,2,1,6,1,2,0.763471222087
181,SiteB,TAGR,1,2009,5,2,2,1,2,24.1746787493
182,SiteB,TAGR,2,2009,0,4,1,2,3,1.52779525659
183,SiteB,TAGR,3,2009,3,0,3,0,5,4.94692780495
184,SiteB,TAGR,4,2009,3,3,2,3,2,0.639978585435
185,SiteB,TAGR,5,2009,1,3,0,2,1,6.5771466282
186,SiteB,TAGR,6,2009,3,1,1,2,3,1.54075620677
187,SiteB,TAGR,7,2009,2,2,4,0,1,9.35076612294
188,SiteB,TAGR,8,2009,3,4,2,4,4,0.689603035044
189,SiteB,TAGR,9,2009,2,0,2,1,2,1.43206847146
190,SiteB,TAGR,10,2009,1,2,1,5,2,2.80852592413
191,SiteB,TAGR,11,2009,2,3,0,3,3,2.82161428738
192,SiteB,TAGR,12,2009,1,1,2,3,1,0.675592265327
193,SiteB,TAGR,13,2009,1,4,2,2,2,0.828879375734
194,SiteB,TAGR,14,2009,4,1,5,1,3,1.77081496767
195,SiteB,TAGR,15,2009,1,3,1,3,1,2.68259354911
196,SiteB,TAGR,16,2009,2,3,1,4,4,4.00342830234
197,SiteB,TAGR,17,2009,0,1,4,3,1,0.716541709385
198,SiteB,TAGR,18,2009,3,1,2,1,4,1.53370961986
199,SiteB,TAGR,19,2009,3,1,4,2,0,9.19079578602
200,SiteC,BUBO,0,2009,1,2,2,1,2,1.15698073367
201,SiteC,BUBO,1,2009,4,1,0,5,3,7.35859263475
202,SiteC,BUBO,2,2009,3,3,2,0,3,0.711111480117
203,SiteC,BUBO,3,2009,4,2,1,1,3,8.12882287121
204,SiteC,BUBO,4,2009,1,3,3,3,1,6.72136839599
205,SiteC,BUBO,5,2009,0,0,0,4,6,1.59216449626
206,SiteC,BUBO,6,2009,5,2,3,1,2,9.82389415106
207,SiteC,BUBO,7,2009,0,0,0,3,1,2.14185415793
208,SiteC,BUBO,8,2009,4,2,2,2,2,2.65784821183
209,SiteC,BUBO,9,2009,3,1,1,1,2,24.4058396761
210,SiteC,BUBO,10,2009,0,7,1,1,4,4.98128020095
211,SiteC,BUBO,11,2009,2,1,1,1,3,3.43644901184
212,SiteC,BUBO,12,2009,2,2,1,2,2,3.68769224639
213,SiteC,BUBO,13,2009,4,4,2,4,3,4.00265148696
214,SiteC,BUBO,14,2009,1,0,1,2,0,0.942773504941
215,SiteC,BUBO,15,2009,1,4,2,3,0,3.46462601698
216,SiteC,BUBO,16,2009,3,2,5,4,1,0.388228901813
217,SiteC,BUBO,17,2009,3,3,1,2,1,3.4285639705
218,SiteC,BUBO,18,2009,1,1,4,5,5,2.65681328541
219,SiteC,BUBO,19,2009,1,3,1,1,4,4.68657838369
220,SiteC,PSRE,0,2009,3,0,0,3,2,1.8923685798
221,SiteC,PSRE,1,2009,3,0,0,1,0,0.424725968871
222,SiteC,PSRE,2,2009,2,0,3,2,1,1.40075390479
223,SiteC,PSRE,3,2009,2,4,1,2,2,7.69555678074
224,SiteC,PSRE,4,2009,1,2,3,0,0,1.39164382659
225,SiteC,PSRE,5,2009,1,4,3,3,1,6.07065098869
226,SiteC,PSRE,6,2009,1,1,2,1,5,7.66108633217
227,SiteC,PSRE,7,2009,1,0,4,2,1,0.334569242339
228,SiteC,PSRE,8,2009,1,1,0,5,3,6.22960860527
229,SiteC,PSRE,9,2009,2,3,3,3,0,0.722402982683
230,SiteC,PSRE,10,2009,5,3,3,1,0,0.169288412455
231,SiteC,PSRE,11,2009,2,2,2,1,3,3.29210287769
232,SiteC,PSRE,12,2009,1,1,2,3,3,0.404347827151
233,SiteC,PSRE,13,2009,3,1,4,4,1,1.66456182324
234,SiteC,PSRE,14,2009,6,0,0,3,5,0.940951786465
235,SiteC,PSRE,15,2009,2,1,1,1,1,1.23888175839
236,SiteC,PSRE,16,2009,4,6,2,1,1,1.66287276926
237,SiteC,PSRE,17,2009,1,4,3,3,1,1.97764015205
238,SiteC,PSRE,18,2009,1,2,2,2,0,7.04849370931
239,SiteC,PSRE,19,2009,1,5,3,5,3,2.2243436055
240,SiteC,RACA,0,2009,1,0,3,4,1,5.81727951407
241,SiteC,RACA,1,2009,1,3,0,2,2,11.5326611067
242,SiteC,RACA,2,2009,0,2,0,3,3,0.798347899793
243,SiteC,RACA,3,2009,2,1,0,4,2,7.04931598485
244,SiteC,RACA,4,2009,1,3,4,2,2,8.55465237023
245,SiteC,RACA,5,2009,2,1,0,2,3,4.91288223952
246,SiteC,RACA,6,2009,3,1,3,0,2,0.722548393547
247,SiteC,RACA,7,2009,1,1,1,1,4,5.74433830214
248,SiteC,RACA,8,2009,0,2,3,3,2,0.740247853089
249,SiteC,RACA,9,2009,2,3,1,2,2,0.216768278244
250,SiteC,RACA,10,2009,2,0,3,3,2,22.8148296199
251,SiteC,RACA,11,2009,2,3,1,1,6,1.01172212555
252,SiteC,RACA,12,2009,4,3,4,4,1,0.672580033469
253,SiteC,RACA,13,2009,1,0,3,4,1,4.57778339454
254,SiteC,RACA,14,2009,0,2,0,3,1,10.6896913684
255,SiteC,RACA,15,2009,0,4,2,2,2,1.23014221445
256,SiteC,RACA,16,2009,0,1,1,1,1,16.9249624271
257,SiteC,RACA,17,2009,2,4,1,1,5,3.68585443855
258,SiteC,RACA,18,2009,2,1,6,1,0,1.50992980453
259,SiteC,RACA,19,2009,3,0,1,2,0,1.77858694023
260,SiteC,TATO,0,2009,1,3,1,2,2,8.14189717553
261,SiteC,TATO,1,2009,1,2,0,5,3,10.6716112699
262,SiteC,TATO,2,2009,1,2,0,3,0,3.11042355906
263,SiteC,TATO,3,2009,2,0,2,1,2,1.45687520094
264,SiteC,TATO,4,2009,6,3,4,1,0,4.37332637116
265,SiteC,TATO,5,2009,5,2,0,3,0,9.05964362448
266,SiteC,TATO,6,2009,2,2,6,1,2,3.31439446841
267,SiteC,TATO,7,2009,1,2,2,2,2,1.73659229729
268,SiteC,TATO,8,2009,2,1,4,1,1,1.72614426121
269,SiteC,TATO,9,2009,2,2,0,2,2,2.1062462867
270,SiteC,TATO,10,2009,4,2,2,2,3,5.67745214304
271,SiteC,TATO,11,2009,0,3,3,1,3,1.85306615116
272,SiteC,TATO,12,2009,3,0,1,3,1,26.6455446177
273,SiteC,TATO,13,2009,1,5,1,0,0,0.50942919169
274,SiteC,TATO,14,2009,2,3,1,1,2,4.5330096026
275,SiteC,TATO,15,2009,4,2,1,2,2,1.66768180658
276,SiteC,TATO,16,2009,2,1,6,0,4,2.05521228761
277,SiteC,TATO,17,2009,1,1,2,2,3,4.80955611018
278,SiteC,TATO,18,2009,2,3,0,4,3,4.48034413428
279,SiteC,TATO,19,2009,5,3,4,2,2,0.90271561208
280,SiteC,TAGR,0,2009,1,3,2,2,1,2.28257584507
281,SiteC,TAGR,1,2009,0,0,1,0,5,2.51709003491
282,SiteC,TAGR,2,2009,4,1,1,0,0,0.887173405676
283,SiteC,TAGR,3,2009,1,1,2,3,0,1.85210838849
284,SiteC,TAGR,4,2009,2,2,3,1,0,2.67514905402
285,SiteC,TAGR,5,2009,3,6,3,1,0,0.299110457786
286,SiteC,TAGR,6,2009,6,1,4,2,1,2.50025731202
287,SiteC,TAGR,7,2009,4,4,1,4,0,0.635356736503
288,SiteC,TAGR,8,2009,3,1,1,1,4,6.55374570214
289,SiteC,TAGR,9,2009,4,2,2,1,0,0.489419970291
290,SiteC,TAGR,10,2009,1,1,2,4,1,3.04248556129
291,SiteC,TAGR,11,2009,2,1,0,0,4,1.78467101882
292,SiteC,TAGR,12,2009,1,1,1,1,6,13.0846998579
293,SiteC,TAGR,13,2009,1,3,3,4,2,10.5159688663
294,SiteC,TAGR,14,2009,0,5,3,1,4,1.17638917243
295,SiteC,TAGR,15,2009,0,2,0,3,1,6.65390709005
296,SiteC,TAGR,16,2009,1,3,2,0,1,4.52125902623
297,SiteC,TAGR,17,2009,3,1,0,5,0,8.1451297732
298,SiteC,TAGR,18,2009,1,4,1,3,1,1.4789918999
299,SiteC,TAGR,19,2009,1,4,0,1,3,0.79818552776
300,SiteA,BUBO,0,2010,1,1,0,1,2,0.703915427083
301,SiteA,BUBO,1,2010,5,5,1,2,2,3.72202863731
302,SiteA,BUBO,2,2010,1,5,3,1,1,22.5983663081
303,SiteA,BUBO,3,2010,3,1,2,2,5,4.51459799065
304,SiteA,BUBO,4,2010,4,1,2,4,3,3.79403202125
305,SiteA,BUBO,5,2010,2,4,2,1,2,1.77302366131
306,SiteA,BUBO,6,2010,2,1,2,2,1,0.521536367003
307,SiteA,BUBO,7,2010,3,2,2,0,2,1.27355974748
308,SiteA,BUBO,8,2010,2,4,0,1,2,3.19227972018
309,SiteA,BUBO,9,2010,3,3,4,1,1,8.58971971265
310,SiteA,BUBO,10,2010,1,3,0,2,3,1.10646635816
311,SiteA,BUBO,11,2010,2,4,3,2,1,0.479379982304
312,SiteA,BUBO,12,2010,4,4,0,1,3,2.42872195503
313,SiteA,BUBO,13,2010,2,2,3,0,1,0.657305916933
314,SiteA,BUBO,14,2010,2,5,1,3,1,6.35777840855
315,SiteA,BUBO,15,2010,1,5,3,2,1,7.37318633138
316,SiteA,BUBO,16,2010,4,1,0,3,2,0.463399841495
317,SiteA,BUBO,17,2010,4,2,0,2,3,1.12975646013
318,SiteA,BUBO,18,2010,2,1,1,2,1,13.187503298
319,SiteA,BUBO,19,2010,2,1,2,1,2,2.21393627973
320,SiteA,PSRE,0,2010,4,3,2,4,2,3.46901720432
321,SiteA,PSRE,1,2010,3,1,1,2,0,1.86770560953
322,SiteA,PSRE,2,2010,3,1,1,2,2,4.62073080467
323,SiteA,PSRE,3,2010,4,2,0,2,5,1.46585643012
324,SiteA,PSRE,4,2010,4,1,1,2,4,10.2521609312
325,SiteA,PSRE,5,2010,0,1,4,2,2,0.788247542503
326,SiteA,PSRE,6,2010,0,0,1,2,3,4.02916386696
327,SiteA,PSRE,7,2010,5,1,1,2,2,2.94766228953
328,SiteA,PSRE,8,2010,4,2,0,2,3,3.52437223055
329,SiteA,PSRE,9,2010,3,2,1,1,3,10.0589747702
330,SiteA,PSRE,10,2010,2,1,4,1,0,3.664822706
331,SiteA,PSRE,11,2010,1,2,2,1,1,2.01744524273
332,SiteA,PSRE,12,2010,3,2,2,3,1,5.32301231569
333,SiteA,PSRE,13,2010,5,4,0,1,2,1.33368858159
334,SiteA,PSRE,14,2010,1,2,2,3,4,2.35341647956
335,SiteA,PSRE,15,2010,2,1,1,0,0,1.20465354722
336,SiteA,PSRE,16,2010,2,2,1,1,1,2.06441722867
337,SiteA,PSRE,17,2010,5,0,3,2,2,3.53101720145
338,SiteA,PSRE,18,2010,2,3,2,5,5,4.91783761938
339,SiteA,PSRE,19,2010,0,3,2,2,1,1.90412768866
340,SiteA,RACA,0,2010,2,3,1,3,1,0.370620593243
341,SiteA,RACA,1,2010,2,3,0,3,2,14.4278233184
342,SiteA,RACA,2,2010,3,3,4,1,0,0.383717999265
343,SiteA,RACA,3,2010,1,1,4,4,0,3.58139042838
344,SiteA,RACA,4,2010,3,1,0,0,3,2.59731772469
345,SiteA,RACA,5,2010,1,2,2,3,2,2.39482073798
346,SiteA,RACA,6,2010,1,3,2,2,1,0.668346250393
347,SiteA,RACA,7,2010,2,4,1,2,1,2.2694226166
348,SiteA,RACA,8,2010,2,2,1,1,2,1.49873210428
349,SiteA,RACA,9,2010,0,2,4,3,3,0.893566248566
350,SiteA,RACA,10,2010,3,3,2,4,3,1.18371475528
351,SiteA,RACA,11,2010,1,3,1,1,1,2.14377257199
352,SiteA,RACA,12,2010,3,1,4,3,1,2.98367138084
353,SiteA,RACA,13,2010,1,1,2,2,5,1.31948702776
354,SiteA,RACA,14,2010,5,2,0,1,0,4.85719171779
355,SiteA,RACA,15,2010,2,1,1,1,2,15.9162753937
356,SiteA,RACA,16,2010,3,0,2,2,5,1.58885233393
357,SiteA,RACA,17,2010,1,1,1,5,3,1.41289508147
358,SiteA,RACA,18,2010,3,7,1,1,3,2.25603941397
359,SiteA,RACA,19,2010,1,4,1,4,0,14.7898819253
360,SiteA,TATO,0,2010,2,0,1,4,4,20.5206032275
361,SiteA,TATO,1,2010,2,1,2,1,2,3.23031769096
362,SiteA,TATO,2,2010,3,1,3,3,4,2.62608925467
363,SiteA,TATO,3,2010,4,2,0,1,3,0.797608340025
364,SiteA,TATO,4,2010,1,1,1,1,2,0.801263966552
365,SiteA,TATO,5,2010,4,3,2,1,2,1.63750006502
366,SiteA,TATO,6,2010,1,3,2,0,1,1.5214147353
367,SiteA,TATO,7,2010,0,1,2,3,2,1.73499488891
368,SiteA,TATO,8,2010,1,0,0,2,2,0.646363666923
369,SiteA,TATO,9,2010,1,3,1,0,2,1.99666691702
370,SiteA,TATO,10,2010,3,1,1,4,0,5.19135948883
371,SiteA,TATO,11,2010,3,2,2,3,1,2.62309924283
372,SiteA,TATO,12,2010,1,2,1,3,4,1.79787005782
373,SiteA,TATO,13,2010,4,2,3,2,3,1.0544596689
374,SiteA,TATO,14,2010,2,1,3,4,4,2.02910906239
375,SiteA,TATO,15,2010,4,3,1,1,3,16.7173743289
376,SiteA,TATO,16,2010,2,1,2,2,3,11.6292307882
377,SiteA,TATO,17,2010,0,1,1,5,0,0.939663855194
378,SiteA,TATO,18,2010,0,1,1,5,1,2.85418655616
379,SiteA,TATO,19,2010,1,2,0,1,2,2.07370714595
380,SiteA,TAGR,0,2010,1,3,3,2,1,1.05569516547
381,SiteA,TAGR,1,2010,1,3,2,2,2,6.93009711384
382,SiteA,TAGR,2,2010,7,3,3,2,0,1.02747550656
383,SiteA,TAGR,3,2010,0,2,2,3,1,1.22507348628
384,SiteA,TAGR,4,2010,1,1,3,2,2,2.22481661953
385,SiteA,TAGR,5,2010,2,3,1,3,3,8.22704248441
386,SiteA,TAGR,6,2010,2,4,7,1,1,0.364671050001
387,SiteA,TAGR,7,2010,1,3,1,1,1,0.446656911602
388,SiteA,TAGR,8,2010,2,1,4,2,0,1.78947407726
389,SiteA,TAGR,9,2010,4,1,1,1,0,4.84519649447
390,SiteA,TAGR,10,2010,1,2,2,2,2,8.32793879137
391,SiteA,TAGR,11,2010,1,0,3,4,1,2.11142440351
392,SiteA,TAGR,12,2010,6,0,2,6,2,2.60197382049
393,SiteA,TAGR,13,2010,0,2,4,0,0,4.52567800737
394,SiteA,TAGR,14,2010,1,3,4,4,0,3.68985010537
395,SiteA,TAGR,15,2010,4,2,0,1,1,8.79319188708
396,SiteA,TAGR,16,2010,2,5,4,2,4,2.15753503098
397,SiteA,TAGR,17,2010,1,1,2,1,2,4.37065603966
398,SiteA,TAGR,18,2010,3,0,3,2,0,7.91652247861
399,SiteA,TAGR,19,2010,0,2,3,1,3,5.786022164
400,SiteB,BUBO,0,2010,2,3,2,1,7,2.22080640761
401,SiteB,BUBO,1,2010,3,2,3,2,1,3.30805043261
402,SiteB,BUBO,2,2010,1,1,2,2,1,1.95116581754
403,SiteB,BUBO,3,2010,1,0,0,1,1,0.430023103899
404,SiteB,BUBO,4,2010,2,1,4,4,0,4.48197942798
405,SiteB,BUBO,5,2010,3,1,0,0,4,7.83062920978
406,SiteB,BUBO,6,2010,0,0,2,0,2,1.29105852585
407,SiteB,BUBO,7,2010,1,1,1,2,1,2.18009041993
408,SiteB,BUBO,8,2010,3,1,2,5,1,1.44378523117
409,SiteB,BUBO,9,2010,1,1,2,2,3,1.31577819177
410,SiteB,BUBO,10,2010,0,1,4,1,0,1.99519288698
411,SiteB,BUBO,11,2010,0,0,0,0,2,3.68076502654
412,SiteB,BUBO,12,2010,7,3,3,3,2,4.01445006336
413,SiteB,BUBO,13,2010,3,1,1,2,2,0.56719471722
